query,default_ms,n_combos,share_faster,best_ms,best_speedup,median_ms,median_speedup,p10_ms,p25_ms,p75_ms,p90_ms,mean_ms
q10,6044.033,4,0.5,4992.398,1.210647268106429,5996.281999999999,1.0093092385834312,5227.8758,5581.0925,6785.648499999999,7812.3838000000005,6370.459
q11,33596.932,3,0.6666666666666666,28266.492,1.1885780520624916,29200.195,1.1505721793981172,28453.2326,28733.3435,36481.6425,40850.511,33743.259
q12,1615.956,6,0.0,2337.035,0.6914556264668693,2987.418,0.540949963065682,2556.798,2823.77475,3658.02075,4025.901,3190.039
q13,5270.771,3,0.6666666666666666,4826.026,1.0921555333518718,5048.817,1.0439615854565534,4870.5842,4937.4215,6411.806500000001,7229.600200000001,5883.213
q14,53058.191,12,0.0,54426.614,0.9748574658713841,62725.719,0.8458767865453317,58414.8911,60581.143249999994,77036.86349999999,80116.8783,67282.12616666667
q15,872.323,6,0.0,1932.131,0.45148232702648006,3323.491,0.2625001249694585,2386.2315,2952.50625,3438.797,3989.7065,3233.143
q16,16576.925,6,0.8333333333333334,11622.996,1.4262179045746897,11959.225,1.3864532969613481,11636.889,11681.560249999999,12889.80525,20165.7875,14587.3005
q17,9234.485,6,0.6666666666666666,7287.387,1.2671874020139182,7430.629,1.2430090834310161,7302.624,7319.7315,8926.0565,11176.8105,8636.687833333333
q18,2992.085,6,0.16666666666666666,2733.602,1.094557656893725,4566.9955,0.6557380479632422,2955.066,3490.0695,4794.52325,5392.389,4304.816833333333
q19,1477.411,6,0.3333333333333333,1318.714,1.1203422425180898,2077.934,0.7131282305542772,1331.2165,1498.8935000000001,2238.50975,2717.8495000000003,2042.3333333333333
q2,5541.094,3,0.6666666666666666,4360.57,1.2707269921134166,4907.79,1.1290405661203924,4470.014,4634.18,6178.728999999999,6941.2924,5572.6759999999995
q20,1509.963,6,0.0,2176.436,0.693777809225725,2801.047,0.5455568863049522,2322.121,2474.763,3293.5595,3533.9790000000003,2885.715666666667
q21,893.748,6,0.0,2307.207,0.3873722643872007,3081.7934999999998,0.30029242325426886,2348.9629999999997,2420.9139999999998,3667.16975,3821.9615000000003,3084.2393333333334
q23,67023.509,9,0.8888888888888888,9188.556,7.2942374188066115,12638.749,5.3030176483447855,9364.664,11467.199,59908.019,65829.7924,29867.946444444442
q24,153299.412,6,1.0,113220.864,1.3539855339736677,118379.79449999999,1.2953039474909875,113511.7675,114478.59575000001,127671.26875,134299.798,122063.78666666667
q25,7881.444,6,0.6666666666666666,5648.036,1.395430907310081,6438.6685,1.2243808464025037,5851.2744999999995,6125.31125,7855.98075,10119.595,7469.8460000000005
q26,1834.376,6,0.3333333333333333,1403.234,1.3072488266390354,3354.777,0.5488334431582765,1461.5949999999998,1927.5507499999999,3997.3142499999994,4179.398999999999,2998.5903333333335
q27,5746.187,6,0.0,5794.722,0.991624274641648,6320.741,0.909446174971954,5940.9655,6114.772,6660.567,8317.287499999999,6859.664666666667
q28,105040.77,3,0.0,106107.843,0.9899435049301681,115767.934,0.9073390737023951,108039.8612,110937.8885,117163.5865,118000.978,113478.33866666666
q29,8353.532,6,0.8333333333333334,6239.786,1.3387529636433042,6580.5055,1.2694976752007172,6272.161,6362.08175,7571.730750000001,10049.694,7634.1201666666675
q3,1896.274,6,0.3333333333333333,1818.176,1.0429540374529198,2737.3590000000004,0.6952877057111444,1852.685,2058.298,3010.3010000000004,3616.963,2735.669
q30,4559.795,6,0.5,3909.942,1.1662052787483805,4666.271,0.9825421594895376,4101.836499999999,4300.70075,5369.9532500000005,6674.206,5147.437833333333
q31,6725.569,3,0.3333333333333333,6081.053,1.1059875649825779,7175.028,0.9373578751190936,6299.848,6628.0405,9535.702000000001,10952.1064,8384.152333333333
q32,963.721,3,0.0,1024.288,0.9408691696085476,1210.158,0.7963596489053496,1061.462,1117.223,2064.8785,2577.7108000000003,1718.015
q33,2672.842,6,0.16666666666666666,2565.616,1.0417934718211923,3093.1825,0.8652187311553121,2619.3025,2750.3235,3363.737,4372.9015,3361.7955
q34,2428.605,3,0.0,3344.453,0.7261591058388323,3745.124,0.6484711854667563,3424.5872,3544.7884999999997,4885.4355,5569.6224,4371.774666666667
q35,31387.155,6,1.0,7681.782,4.08592107924958,9468.7235,3.314824521796117,8458.767,9293.4205,9685.67475,11413.583,9780.357833333333
q36,29167.646,6,1.0,4207.833,6.931749905473911,4869.022,6.028312129071686,4275.1055,4377.57375,5488.8125,6894.702499999999,5346.276666666667
q37,22780.879,6,1.0,3696.185,6.163349237118814,8819.982,2.5954485326043613,5660.8565,7770.647000000001,10172.429499999998,11022.547999999999,8501.128833333334
q38,54862.042,3,1.0,10858.904,5.052263285502846,12571.33,4.364060286381791,11201.3892,11715.117,16296.984499999999,18532.3772,14484.291
q39,182427.157,6,1.0,4784.228,38.13094965373724,6587.6415,28.059733861071926,5188.017,5652.313749999999,8057.96975,8310.907,6695.521833333333
q4,61271.259,3,0.6666666666666666,53396.877,1.1474689615274691,54610.175,1.1219751447417994,53639.5366,54003.526,60124.1215,63432.4894,57881.706666666665
q40,39770.182,6,1.0,6600.78,6.02507309742182,10954.661,3.6347674749892054,8431.458,10340.713,13006.63125,13722.819500000001,11036.312833333335
q41,1897.943,3,0.6666666666666666,818.192,2.3196792439916303,997.485,1.9027283618300024,854.0506,907.8385000000001,1941.548,2507.9858,1567.0959999999998
q42,17478.554,6,1.0,859.063,20.346067750560785,1034.4135,16.897380563625223,926.1995,1002.491,1137.20125,1809.48,1256.6976666666667
q43,19147.835,6,1.0,2448.532,7.820128550494744,3365.307,5.699704524052745,2785.2520000000004,3147.6875,3728.7827500000003,4416.8195,3522.4595000000004
q44,33590.661,6,0.8333333333333334,22837.598,1.4708491234498478,24043.049,1.3975105932859542,23030.669500000004,23326.153000000002,25237.57575,31915.8315,26329.850000000002
q45,23559.582,6,1.0,984.879,23.92129591553886,1145.48,20.668425563960877,1016.2835,1052.118,1342.57375,2000.9755,1387.5796666666665
q46,28314.79,6,1.0,4920.366,5.7546105310052145,5868.348,4.825081102016623,5068.8904999999995,5374.20275,6335.179,7126.255,6021.1645
